53.086 33.020 67.818 45.212 7.112 0.000 0.000 18.796 50.292 18.288 20.066 72.898
113.030 nan nan nan nan nan nan nan nan nan nan nan
131.826 77.216 189.230 45.212 0.000 2.032 0.000 1.016 5.080 10.668 19.050 148.082
29.210 105.918 54.356 0.000 11.176 0.000 7.112 6.096 16.002 38.354 30.988 22.098
267.716 172.466 163.830 11.938 0.000 1.016 0.000 6.096 0.000 60.960 167.894 107.950
161.544 151.892 75.184 81.026 0.000 11.938 0.000 nan 20.066 nan 39.878 236.728
204.216 90.932 175.006 66.802 3.048 0.000 0.000 0.000 4.064 14.986 25.146 198.120
113.284 14.986 114.046 6.096 0.000 0.000 0.000 0.000 3.048 20.574 16.002 26.924
nan nan 130.810 20.320 0.000 0.000 0.000 0.000 8.128 3.810 10.922 75.946
154.432 46.228 56.896 40.894 0.000 0.000 0.000 0.000 0.000 5.080 116.078 85.090
138.938 29.972 13.970 17.018 0.000 32.004 0.000 7.874 9.144 17.018 103.124 108.204
141.986 87.122 79.502 14.986 0.000 0.000 0.000 0.000 23.622 25.654 107.442 26.416
188.722 98.552 81.788 6.096 0.000 11.938 0.000 19.050 4.826 45.466 49.022 116.586
125.984 79.756 60.706 38.354 0.000 4.064 0.000 48.006 15.240 12.192 35.814 25.146
95.758 54.610 57.658 nan 0.000 2.286 0.000 0.000 20.320 11.176 34.544 56.388
74.422 54.610 118.110 0.000 0.000 0.000 0.000 4.064 0.000 16.510 nan 89.154
118.364 29.210 51.562 0.000 0.000 0.000 0.000 18.034 8.128 8.636 112.268 212.344
119.126 89.916 198.628 16.764 1.016 0.000 0.000 3.048 12.192 0.000 48.006 19.558
81.788 114.300 41.148 34.036 0.000 40.132 0.000 0.000 5.842 68.834 66.802 30.988
116.586 72.136 270.764 3.556 0.000 0.000 0.000 0.000 41.402 40.640 46.482 73.660
153.924 42.164 47.752 0.000 0.000 0.000 0.000 4.572 0.000 0.000 10.922 91.948
179.070 182.880 108.966 0.000 20.066 0.000 0.000 0.000 0.000 22.606 7.112 119.888
97.282 174.498 55.880 37.846 9.906 0.000 0.000 0.000 0.000 37.084 51.816 78.486
174.752 86.614 111.506 0.000 19.050 0.000 0.000 0.000 38.354 57.150 31.750 180.086
164.846 29.718 46.482 54.102 nan 0.000 5.080 2.032 42.164 1.016 61.214 40.132
193.040 99.060 6.604 57.658 0.000 0.000 4.064 0.000 6.096 40.894 115.316 62.484
157.226 99.060 125.730 58.166 0.000 0.000 0.000 0.000 8.382 41.910 59.436 102.108
96.012 100.584 40.132 11.938 0.000 0.000 0.000 0.000 18.542 10.414 60.198 173.990
230.378 58.420 45.720 32.004 0.000 0.000 0.000 0.000 0.000 11.430 0.000 99.060
38.100 63.754 44.958 27.686 0.000 0.000 0.000 0.000 0.000 16.002 49.022 34.036
40.894 76.200 93.218 22.098 31.242 0.000 0.000 0.000 0.000 36.576 0.000 40.132
20.574 185.928 89.408 14.986 0.000 0.000 0.000 0.000 20.574 0.000 33.274 76.708
34.036 105.918 44.958 0.000 0.000 0.000 0.000 0.000 0.000 0.000 8.382 59.182
126.746 65.532 30.226 1.524 0.000 5.080 0.000 4.572 16.764 54.102 50.546 230.124
251.460 282.956 24.638 0.508 1.524 0.000 0.000 4.064 12.700 12.446 17.018 12.192
40.894 29.718 18.796 20.066 0.000 0.000 24.384 11.684 0.508 2.794 18.542 40.894
46.736 50.292 23.368 10.414 0.000 0.000 0.000 0.000 1.016 5.588 15.240 46.736
55.880 102.108 48.006 12.192 0.000 0.000 0.000 0.762 18.288 1.016 19.812 16.510
244.602 133.604 138.430 35.306 48.514 15.240 0.000 41.402 18.288 63.500 15.494 139.954
129.032 140.208 280.924 131.064 27.686 14.224 3.302 2.540 59.944 103.632 114.300 253.238
271.526 351.028 165.100 222.250 23.368 22.352 11.938 3.302 12.192 87.884 133.858 172.466
287.274 111.760 116.332 113.284 65.278 46.736 46.228 0.000 2.540 66.294 159.766 95.504
370.840 49.530 104.394 74.676 0.000 171.704 2.032 7.620 0.000 55.880 186.690 196.850
63.246 234.950 172.466 nan nan 171.704 nan nan 37.592 17.526 205.486 274.828
154.432 271.526 163.830 148.590 191.770 210.820 62.230 0.000 122.428 203.708 145.542 58.928
141.732 141.224 95.504 186.944 173.228 48.768 68.326 28.448 0.000 52.578 132.842 144.780
90.424 45.212 206.248 64.516 124.968 0.000 35.306 0.000 0.000 15.494 27.940 136.906
181.102 102.108 129.540 153.416 78.486 71.374 14.732 4.826 32.766 0.000 28.702 132.080
95.758 38.354 16.002 62.992 131.064 23.114 0.000 0.000 0.000 25.908 35.052 65.024
78.740 94.996 85.598 68.072 15.748 7.112 7.112 0.000 0.000 9.144 33.782 21.590
115.570 103.124 34.798 91.440 177.546 71.882 40.894 11.684 28.702 63.246 31.750 115.062
140.970 92.202 127.254 9.398 28.194 7.366 21.082 15.494 5.080 25.146 19.812 131.318
68.834 86.106 63.246 17.018 40.386 25.654 0.000 0.000 43.434 34.036 47.752 57.658
65.278 61.722 40.132 40.132 17.526 26.162 19.050 7.112 0.000 0.000 13.970 57.658
34.798 75.946 45.466 nan 24.130 7.112 0.000 10.414 54.610 237.236 277.622 144.018
113.284 72.898 62.738 59.944 114.554 82.042 54.864 24.892 117.856 96.012 154.686 183.642
62.230 192.278 192.532 164.084 41.402 19.558 21.082 21.336 26.924 67.310 95.250 118.872
134.112 158.496 110.236 95.504 76.200 47.244 22.352 14.986 27.432 75.438 84.582 121.920
136.144 112.268 108.712 43.180 33.020 29.210 28.956 15.748 8.128 61.468 91.186 128.524
